readID,score,taxid,superkingdom,phylum,class,order,family,genus,species
59176839-8c4e-49bd-b457-290b0fc35fea,0.056,56,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum
58802672-a611-4fd7-a2a5-553f26d26e0e,2.04e-125,103733,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,Saccharothrix syringae
51040524-87c8-4003-8fde-a12c4b8bcff0,0.049,2507582,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. ABRD24
50435106-331e-4d3b-ac83-63624507f911,0.088,2576891,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus,Nibricoccus aquaticus
48853877-6d1b-4f95-889b-22e18f656f72,1.91e-76,675864,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Auraticoccus,Auraticoccus monumenti
47459786-b9ec-48cc-a63a-547f3a362720,6.75e-11,1855912,Bacteria,Acidobacteria,Vicinamibacteria,<missing>,Vicinamibacteraceae,Luteitalea,Luteitalea pratensis
45145824-98bd-4ceb-a25a-3a3bc6dbdccc,9.59e-43,2609808,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. LBUM 1480
44662900-5242-4c40-8ffa-6076ba03ecfb,0.085,2823693,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp. S6
43052380-1118-46ba-8a1f-f234fb5d64d1,1.48e-41,2663857,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. zg-579
40198316-2391-4501-8f8e-0efa90bf0dbc,6.56e-100,2775420,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Skermanella,Skermanella sp. TT6
39250930-9f67-4a64-aeaa-32d60a42c40b,4.92e-14,215580,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,Schlegelella thermodepolymerans
37863747-87d1-4384-b8af-e371d886e760,0.089,313595,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus torquis
34388440-bf3b-4198-a2f1-5425c84eb9d2,2.65e-45,2527974,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia plasticadhaerens
32120566-5569-4535-b761-fad00901bde5,1.18e-10,106335,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus syriacus
29261962-64f5-4c83-b51f-0de0ee8477c5,3.13e-70,43348,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium branderi
20576959-9002-44dd-be85-da7523b19d98,1.80e-82,1549858,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas taxi
19691835-4d60-4f48-837b-93bcd1b1606e,0.0,1146883,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus saxobsidens
19348031-2314-4b3d-aedb-2d9d09392b9a,1.00e-05,363835,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas ginsengisoli An et al. 2013
18371561-76d2-42d7-a80d-8c5f57c1b4d4,1.13e-56,399497,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus flavescens
16293070-8d99-4b09-89ec-a4a88580ee90,1.09e-41,408015,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces xiamenensis
15843962-06e7-4c6c-ae47-32b2f3d2aac2,1.59e-126,2728827,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Catellatospora,Catellatospora sp. IY07-71
15217967-b645-456f-8f78-da2ab8aa3f90,3.46e-26,2509614,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax sediminis
15009368-72e2-4c6d-8197-7fc1d0793733,1.26e-67,1076124,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Phytohabitans,Phytohabitans flavus
14932952-a62d-46d2-a58f-71c7d541c5ea,1.63e-33,101571,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ubonensis
14250987-78fd-4fa8-af9e-35ffe255a5be,5.27e-60,538025,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium etli
10986066-de1d-406f-b396-5075fe67f64b,0.16,1597,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei
9426895b-f63b-4526-8c2c-1c6e665a2950,9.21e-15,2202827,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium terrae
8893750d-279f-4fed-a4b9-ba8c0745068a,1.13e-140,2202825,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium durans
8713057f-b3fb-48e0-b111-7b9a83ee0a9d,3.96e-07,2591145,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas sp. Y8
8682663e-bd05-452d-bdb4-76934d1a6683,0.0,2758442,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Actinotalea,Actinotalea sp. JY-7876
8491332b-8ce6-46c5-bdde-b57e10e1db85,1.49e-21,2851567,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter sp. L9-4
8430696f-1dde-4d9f-a1a2-e38ee1f875ad,4.00e-15,665007,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces incarnatus
8293183f-4261-4592-917f-3ae69967b1cb,0.004,2044939,Bacteria,Firmicutes,Clostridia,<missing>,<missing>,<missing>,Clostridia bacterium
7684900f-3dc7-49c8-88e3-95a328f08c54,0.028,321985,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia lutea
7652047b-84ae-42fd-a240-5767b17d6835,8.17e-04,2777475,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. J8
7635159b-033d-4843-b7f6-2a8c6929c150,2.69e-110,545619,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Paraoerskovia,Paraoerskovia marina
7252969f-a5be-4d10-bbba-a3e441d3bcd9,2.29e-176,77133,Bacteria,<missing>,<missing>,<missing>,<missing>,<missing>,uncultured bacterium
7047555c-2c0f-4631-a75a-c0b431b04d1e,0.0,323848,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira multiformis
6909596b-659b-4be2-b27d-07144c389ac7,2.49e-21,2592334,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. JQ2195
6801547b-6cdb-4624-a276-c979ac134be6,0.041,2736640,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia broussonetiae
6566045a-4779-4db8-b09a-1f19e0c683ca,0.020,1072389,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Drepanopeziza,Drepanopeziza brunnea
6168303c-e115-46c9-a574-c500d715cbde,2.22e-17,1484109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Lichenicola,Lichenicola cladoniae
5613869a-1de5-4dcb-8800-8d2fab4c546f,8.30e-139,2840457,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. LMS-CY
5613149d-f6af-4ee4-85dd-41575357c398,0.011,2714941,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Phycicoccus,Phycicoccus sp. HDW14
5337168f-1914-45da-9e65-2b64ab869569,2.24e-07,1471761,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,Novibacillus thermophilus
5018049b-1723-49bd-8024-424c83d23731,1.57e-28,58340,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lavendulae
4782062a-abed-4620-8c4a-2b5bb77e2af8,0.20,2014920,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces capitiformicae
4749303d-2164-4da5-a18c-4aef7387cecc,6.29e-13,2872158,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobaculum,Halobaculum sp. C46
4577256a-9c71-4c1f-a6ed-43bd514b1686,2.03e-09,1223566,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. CCGE-LA001
4125066b-7e15-440a-860d-1d4ba2e830cc,1.23e-39,1076124,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Phytohabitans,Phytohabitans flavus
03879373-ad51-4722-8e3f-293228b0ba58,3.58e-91,34073,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus
3607971c-2c92-4b58-9d1c-a8d8abaa1e71,1.60e-98,60172,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium solitum
3478208d-1c63-4f7a-a0ab-2605591cfeab,0.0,1404864,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium cosmicum
3409318f-fdc2-4806-a013-79bc7ac28735,6.96e-16,624315,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Phytohabitans,Phytohabitans suffuscus
3292133f-94e0-4f17-a860-41e285ebd32f,7.61e-07,114615,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. ORS 278
03282142-eca0-4bde-8381-f243ec82d35c,0.083,2764186,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sabuli
3233054c-94ec-48c4-b874-d579edd91dd3,4.30e-40,2072590,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia armeniaca
2964643d-5c92-4940-a25f-bf82b8861886,0.002,2723666,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,<missing>,<missing>,Planctomycetales bacterium zrk34
2882588d-a342-4fbe-af68-de5b6d909b4c,1.54e-04,2795488,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp. YC1
2857468e-5eef-4d40-88ad-7b0afdce9404,2.58e-159,2596920,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,<missing>,Geodermatophilaceae bacterium NBWT11
2786415a-00aa-4ba1-93ae-73e9570984f0,0.0,1450172,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,<missing>,Aaosphaeria,Aaosphaeria arxii
2596628b-1fe7-4acd-aa80-d4a11c0772ec,2.38e-19,2583377,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,Saccharibacillus brassicae
2516549a-5db2-41bd-96c8-4e9270b6df93,4.33e-04,853,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii
02471220-e963-4e90-bcb1-647d9688ee57,0.0,700598,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella koreensis
01643517-793c-4e8c-8a77-b8dd294bbcd4,0.0,1325100,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. CCBAU 51753
1624705d-5dbf-48a7-92d3-cd3baad40df9,2.02e-90,861299,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,Gemmatirosa kalamazoonesis
1615233f-2081-4725-ad5d-3dc89ce6af52,2.21e-45,112509,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare
01433723-4497-4b18-abb2-383dfbbb6258,0.027,469383,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei
1353209f-eb49-4bf3-be78-a1cf33216422,1.78e-81,371608,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Candidatus Streptomyces philanthi
1289148a-8693-4a04-8760-9357738bf44a,0.0,299146,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora narathiwatensis
1126402f-c12a-4f54-9b2f-ff5c5c30941e,2.06e-24,1185650,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus
01056878-9f77-4d10-a048-228e8f07c9f3,5.10e-08,2591108,Bacteria,Actinobacteria,Actinomycetia,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura sp. WMMA1423
967244e8-ed3f-4f77-9358-83d34bcfb88b,5.48e-04,2775080,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Kiloniellaceae,Aestuariispira,Aestuariispira ectoiniformans
960636f0-2976-4d54-950b-808340153896,1.50e-89,1850250,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter sp. LPB0142
942574b3-466d-4689-98ca-64bc1289367a,1.32e-31,2812863,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. PSBB049
932868b3-eefb-4058-89cb-cea9e84970e1,0.023,212818,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala mesophila
922468a7-8db9-4cc3-abe3-0abd86cddccf,0.0,60894,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora spinosa
919757d0-6ef9-4947-a565-7d30ec999d94,1.28e-12,2807101,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga sp. VF16
918888d9-48a1-4da1-9542-92f3eb78bf30,1.18e-04,2750025,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. CB00271
891523fd-c69c-406c-bef3-085ca36ebaed,1.31e-05,288000,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. BTAi1
870229d1-6ad1-45d1-8623-7333ffea316b,1.43e-175,2714943,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas piscis
864926e5-5b37-4d36-a848-3482c5401234,0.15,2598579,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Limnoglobus,Limnoglobus roseus
819822ae-34a4-4317-b2a2-9f989b43f870,6.17e-111,2653203,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. CL5.1
800956d9-f0d2-47cb-bae3-dfc7e26775e4,1.12e-155,1034889,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. HW608
799563ab-4886-4d21-9e0e-5ac9bbd00350,3.61e-21,77133,Bacteria,<missing>,<missing>,<missing>,<missing>,<missing>,uncultured bacterium
0791626a-628c-4d5a-b00c-fad8ad4b04b5,2.29e-05,2716225,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. BA0156
790740cc-ae98-4320-a8bb-c2b81f337512,1.31e-74,1799,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium aichiense
789249d4-9b92-43ac-a3f4-dd1d0de61347,0.31,2292766,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Persicimonas,Persicimonas caeni
776317b6-dc5a-4d81-a0c1-549bcd589d8d,9.33e-19,2765360,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. CCM 8941
771681e8-52db-4afe-b688-92f8c7b5e03b,3.52e-14,515350,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora endophytica (Xie et al. 2001) Li et al. 2019
740949f6-696c-42ae-8207-9122f9baeb3d,0.0,386874,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sediminicola
724549cc-b22d-43ad-a2e2-3033fd68f638,9.32e-13,2116657,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pulveribacter,Pulveribacter suum
714033c2-7820-452b-a914-8fda8306fde7,0.100,38727,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Panicum,Panicum virgatum
704902dc-5d3b-4f37-afd2-a1f1efd7bf7f,3.66e-53,112509,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare
703674ca-b929-47cc-8437-8c2ccba87592,0.048,1911175,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. BJA-103
696570b7-1aad-4501-9d9d-36d009bb7ccd,1.11e-16,80870,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae
684788d2-3848-4558-9077-744c3c83dbe5,3.31e-06,549298,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella halioticida
659363b7-a7a5-4df0-8116-1cf1b422f67c,1.08e-142,1837283,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. S8
627228be-c348-4124-a57b-d962f25a5d61,6.91e-13,2562285,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Altibacter,Altibacter sp. ALE3EI
0616615c-2386-47ce-9700-578993f8e256,9.08e-50,2725666,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium terrae
614906e8-66ee-4490-9b2d-ceb025fc7784,1.57e-37,1935,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceoruber
609658b5-1892-4551-b9d5-fd7b89fe4b9a,0.010,2705012,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus sp. PB12-B1b
576648df-d57a-488c-a750-8d56b4a77c9f,8.11e-131,674703,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes sp. Z2-YC6860
573232d1-1624-4b9c-b160-0d9b20bc93c5,0.001,82380,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium oxydans
568222c2-b7a9-40fd-8d77-82ca4a07aec7,0.18,2488809,Bacteria,Verrucomicrobia,<missing>,<missing>,<missing>,<missing>,Verrucomicrobia bacterium S94
550075ed-0f2e-4d8f-b331-edb115e6d9d2,5.81e-13,1262452,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 769
541801f5-d90d-4a51-bc61-85e484b3a41d,3.03e-64,2202149,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas sp. SY21
535086f1-952c-4549-9e22-ea25779b49b9,0.0,1776,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium flavescens
520520e6-cb1a-41f5-afa0-8ad4415a8179,0.100,2760310,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus sp. MC1865
513262b7-4e44-4b0b-ab53-ad910be6c58a,0.020,1909732,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus sp. T2.5-30
501449e9-9d21-4fc2-9ad8-99c0863d3cab,0.014,2613770,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. BG4
496005ad-2cff-4880-9eaf-9b2b83797c9c,1.39e-16,290398,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter salexigens
471557e0-7d86-4ca2-a6c8-66f4abcce7df,5.72e-145,2057741,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. SK17
471095ce-3b11-40ec-bd31-de9d598b238c,2.22e-48,2609808,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. LBUM 1480
464420e4-3670-4cee-bfbf-14d083761666,0.010,2675754,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Ruaniaceae,Ruania,Ruania sp. HY164
463772a2-3123-47a4-aca2-edee83c7f256,0.0,1838286,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Lacunisphaera limnophila
00460287-1bbb-43bf-8829-58420df6f586,7.04e-18,2052164,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,<missing>,Gemmataceae bacterium
457936de-785e-48ae-8772-11a084127f8f,0.0,674703,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes sp. Z2-YC6860
435482c9-c556-4107-a1a4-3d34f291aaeb,2.72e-12,192,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense
426463cf-c944-4444-8ff9-22362dffc867,6.52e-04,60550,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pyrrocinia
415460c9-19c2-45ac-8a1e-f83e329fe984,2.11e-05,2587808,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium sp. BI34T
